"Country Name","GNI per capita(usd)","Unemployment, total (% of total labor force)","Current health expenditure (% of GDP)","Urban population (% of total population)","School enrollment, secondary (% gross)","Life expectancy at birth, total (years)"
"Madagascar","490","3.415","3.5045228","39.207","35.145066580434","64.485"
"Middle East & North Africa","7531.4475335401","10.108600541377","5.7632966964841","65.806702530684","78.821159362793","72.745678008424"
"Mexico","9920","4.019","6.07868719","81.016","98.320251464844","70.213"
"Marshall Islands","6520","7.87","12.54863834","78.162","117.97959136963","65.269"
"Middle income","5686.3567827306","6.1977007717513","5.4376276420733","53.138473224402","79.087913513184","70.580621818216"
"North Macedonia","7050","15.801","8.52","58.786","84.161956787109","73.246341463415"
"Malta","30830","3.403","10.58","94.81","103.09445953369","82.507317073171"
"Middle East & North Africa (excluding high income)","3513.977011809","11.705372195115","5.4676195943063","62.202861199159","76.379013061523","71.899875725744"
"Montenegro","9370","16.543","10.55","67.826","93.163841247559","73.824390243902"
"Mongolia","3730","7.747","6.911304","68.785","99.795955867229","70.975"
"Mozambique","490","3.984","9.05218315","37.628","33.628709753407","59.325"
"Malaysia","10740","4.64","4.38380671","77.696","80.270908645973","74.884"
"North America","69010.004104756","5.5929960569415","16.968274857994","82.74998061945","101.91149139404","76.872658270814"
"Nigeria","2160","5.393","4.07625723","52.746","47.237228393555","52.676"
"Netherlands","58170","4.21","11.29","92.572","135.96217346191","81.309756097561"
"Norway","83370","4.369","10.08","83.323","119.81687164307","83.163414634146"
"Nepal","1230","12.315","5.42","21.008","83.516218999017","68.45"
"New Zealand","45520","3.776","10.04858398","86.789","117.5954284668","82.207317073171"
"OECD members","42779.876283222","6.1938013057533","13.353391695167","81.240530850903","106.20845031738","78.666205486382"
"Oman","17960","1.9","4.37028217","87.044","94.287269592285","72.541"
"Other small states","14080.151003498","8.7356119554679","7.3483306432716","58.903308481402","71.24186706543","72.366898701005"
"Pakistan","1470","6.338","2.91131568","37.44","41.855234531602","66.098"
"Panama","14930","10.453","9.68179989","68.775","82.8732284548","76.223"
"Peru","6440","5.097","6.15173197","78.5","98.164810180664","72.377"
"Philippines","3550","3.398","5.87","47.684","87.131517608917","69.266"
"Poland","16910","3.363","6.44","60.075","110.52970123291","75.50243902439"
